Designator,Mid X,Mid Y,Rotation,Layer
C1,304.2,-71.769375,90.0,bottom
C2,299.0,-71.769375,90.0,bottom
C3,88.10625,-80.9625,90.0,bottom
C4,94.059375,-80.9625,90.0,bottom
D1,76.2,-111.91875,90.0,bottom
D10,247.65,-111.91875,90.0,bottom
D11,266.7,-111.91875,90.0,bottom
D12,285.75,-111.91875,90.0,bottom
D13,304.8,-111.91875,90.0,bottom
D14,323.85,-111.91875,90.0,bottom
D15,76.2,-130.96875,90.0,bottom
D16,95.25,-130.96875,90.0,bottom
D17,114.3,-130.96875,90.0,bottom
D18,133.35,-130.96875,90.0,bottom
D19,152.4,-130.96875,90.0,bottom
D2,95.25,-111.91875,90.0,bottom
D20,171.45,-130.96875,90.0,bottom
D21,190.5,-130.96875,90.0,bottom
D22,209.55,-130.96875,90.0,bottom
D23,228.6,-130.96875,90.0,bottom
D24,247.65,-130.96875,90.0,bottom
D25,266.7,-130.96875,90.0,bottom
D26,285.75,-130.96875,90.0,bottom
D27,304.8,-130.96875,90.0,bottom
D28,338.1375,-130.96875,90.0,bottom
D29,85.725,-150.01875,90.0,bottom
D3,114.3,-111.91875,90.0,bottom
D30,104.775,-150.01875,90.0,bottom
D31,123.825,-150.01875,90.0,bottom
D32,142.875,-150.01875,90.0,bottom
D33,161.925,-150.01875,90.0,bottom
D34,180.975,-150.01875,90.0,bottom
D35,200.025,-150.01875,90.0,bottom
D36,219.075,-150.01875,90.0,bottom
D37,238.125,-150.01875,90.0,bottom
D38,257.175,-150.01875,90.0,bottom
D39,276.225,-150.01875,90.0,bottom
D4,133.35,-111.91875,90.0,bottom
D40,295.275,-150.01875,90.0,bottom
D41,314.325,-150.01875,90.0,bottom
D42,338.1375,-150.01875,90.0,bottom
D43,90.4875,-169.06875,90.0,bottom
D44,109.5375,-169.06875,90.0,bottom
D45,128.5875,-169.06875,90.0,bottom
D46,147.6375,-169.06875,90.0,bottom
D47,166.6875,-169.06875,90.0,bottom
D48,185.7375,-169.06875,90.0,bottom
D49,204.7875,-169.06875,90.0,bottom
D5,152.4,-111.91875,90.0,bottom
D50,223.8375,-169.06875,90.0,bottom
D51,242.8875,-169.06875,90.0,bottom
D52,261.9375,-169.06875,90.0,bottom
D53,280.9875,-169.06875,90.0,bottom
D54,300.0375,-169.06875,90.0,bottom
D55,338.1375,-169.06875,90.0,bottom
D56,100.0125,-188.11875,90.0,bottom
D57,119.0625,-188.11875,90.0,bottom
D58,138.1125,-188.11875,90.0,bottom
D59,157.1625,-188.11875,90.0,bottom
D6,171.45,-111.91875,90.0,bottom
D60,176.2125,-188.11875,90.0,bottom
D61,195.2625,-188.11875,90.0,bottom
D62,214.3125,-188.11875,90.0,bottom
D63,233.3625,-188.11875,90.0,bottom
D64,252.4125,-188.11875,90.0,bottom
D65,271.4625,-188.11875,90.0,bottom
D66,290.5125,-188.11875,90.0,bottom
D67,338.1375,-188.11875,90.0,bottom
D68,80.9625,-207.16875,90.0,bottom
D69,104.775,-207.16875,90.0,bottom
D7,190.5,-111.91875,90.0,bottom
D70,128.5875,-207.16875,90.0,bottom
D71,147.6375,-207.16875,90.0,bottom
D72,266.7,-207.16875,90.0,bottom
D73,285.75,-207.16875,90.0,bottom
D74,304.8,-207.16875,90.0,bottom
D75,323.85,-207.16875,90.0,bottom
D76,342.9,-207.16875,90.0,bottom
